AGE,INCOME,NETWORTH,y_norm,a2y
25.0,40480.36776648,7179.839999999999,0.5931318435434488,0.17736597753801306
26.0,42272.25527328,6106.24,0.6193871766585507,0.144450301043193
27.0,46304.00216343999,10615.039999999999,0.6784616761654779,0.22924670663524763
28.0,50824.4456464,15901.64,0.7446967210679662,0.31287385032455034
29.0,55385.613845360014,19785.239999999998,0.8115284780857743,0.3572270599950663
30.0,58317.79340188,26687.28,0.8544917504550349,0.4576181375055195
31.0,62145.91671176,32133.4,0.9105826893812603,0.5170637380576177
32.0,65240.9951326,37419.0,0.9559328102164892,0.5735504175549011
33.0,65892.59058963999,41379.4,0.9654802040768458,0.6279825945484363
34.0,68295.3488374,50357.4,1.000686218935812,0.737347430787603
35.0,68824.7701462,46784.0,1.0084434764466925,0.6797552668991089
36.0,73752.46078984,56888.8,1.0806456425123432,0.771347822035477
37.0,72742.48783140001,57048.4,1.0658471820283801,0.7842514285767183
38.0,73271.90914016,67229.28,1.0736044395386746,0.917531435838512
39.0,75471.04380744,77298.56,1.1058268938140081,1.0242147994828692
40.0,80480.18388316,98753.95999999999,1.1792224841114707,1.2270593236139917
41.0,78036.70091936,107677.76000000001,1.1434197571365983,1.3798348563103648
42.0,76603.19091395999,130038.16,1.122415490645103,1.697555394866745
43.0,75137.10113568,129336.48000000001,1.1009338544601799,1.721339764844649
44.0,77580.58409956,138243.2,1.1367365814362242,1.7819303838005527
45.0,71960.57328287998,138321.6,1.0543903093948968,1.9221859094458864
46.0,76033.04488916,160546.4,1.1140615210189027,2.1115345338864504
47.0,78395.07842084001,156188.8,1.1486708237613772,1.9923291505819811
48.0,81571.60627372001,159651.6,1.195214368827832,1.9571957362746586
49.0,76888.26392652,159075.6,1.1265924754605476,2.0689191285684925
50.0,77417.68523536,159227.6,1.1343497329720142,2.0567341882662475
51.0,76847.53921047998,156463.6,1.1259957633446416,2.0360261578637835
52.0,79291.02217416001,170045.2,1.1617984903177558,2.144570663075847
53.0,78802.32558144,182788.0,1.1546379449233675,2.3195762136625486
54.0,74974.20227144,176634.0,1.0985470059953835,2.3559303686954385
55.0,74322.60681443999,188124.4,1.088999612135613,2.531186782370094
56.0,72530.71930768,195731.6,1.0627442790210975,2.698602769534022
57.0,67236.50621956,196332.8,0.9851717039105348,2.920032747669511
58.0,63978.52893448,211116.8,0.9374347346105096,3.2998070370796326
59.0,67684.47809631999,246514.8,0.9917355371901891,3.6421171727023043
60.0,66014.76473768,254536.4,0.9672703404233917,3.85574955862435
61.0,62105.191995639994,235386.4,0.909985977264182,3.790124342849225
62.0,61901.56841536,238049.2,0.90700241668348,3.845608537778688
63.0,59865.33261228,245450.76,0.8771668108723563,4.100048380081186
64.0,55059.81611684,250360.76,0.8067547811555957,4.54706858208027
65.0,53634.45105464,260821.56,0.7858698570871645,4.862948251941434
66.0,52371.98485668,275408.36,0.7673717814835294,5.258696242918353
67.0,50376.473769599994,291974.36,0.7381328877877255,5.795847508806657
68.0,51761.11411576,301200.8,0.7584210997402508,5.819055581500547
69.0,53475.62466196,291022.8,0.7835426798333143,5.4421580269453065
70.0,51480.11357499999,269360.0,0.7543037861392686,5.232311688815074
71.0,52490.086533359994,302512.0,0.7691022466220596,5.763221590570992
72.0,50087.328285640004,281742.0,0.7338962317636796,5.625015540722607
73.0,50709.601947040006,275610.0,0.7430139928992476,5.435065341034249
74.0,50705.529475400006,280604.4,0.7429543216871296,5.533999997695249
75.0,49765.6030286,295786.8,0.7291822060432749,5.943599233189499
76.0,44560.9843158,256128.8,0.6529223975881742,5.747826353763562
77.0,44650.57869116,272328.8,0.6542351642442223,6.099110201541825
78.0,42570.360194680004,268648.8,0.6237551093467949,6.310700655842064
79.0,40045.42779884,253512.8,0.5867589581406967,6.33063033496532
80.0,41148.2531098,249793.8,0.6029179222481753,6.070580914661193
81.0,41596.22498652,242776.6,0.6094817555272437,5.836505598252632
82.0,42598.05300167999,241010.2,0.6241608735869705,5.65777501592608
83.0,42980.86533264,246939.0,0.6297699674791829,5.745324066625355
84.0,44080.43266636,248984.2,0.645881194618022,5.64840644565661
85.0,43306.6630612,239206.8,0.6345436644099474,5.523556494342645
